gameId,gameDate,season,teamId,opponentTeamId,teamCity,teamName,opponentTeamCity,opponentTeamName,home,win,teamScore,opponentScore,point_diff,assists,reboundsTotal,steals,blocks,turnovers,fieldGoalsPercentage,threePointersPercentage,pointsInThePaint,pointsFastBreak,benchPoints,days_rest,is_back_to_back,month,season_part,streak,win_pct_ewm,h2h_win_pct,teamScore_ewm,assists_ewm,reboundsTotal_ewm,steals_ewm,blocks_ewm,turnovers_ewm,fieldGoalsPercentage_ewm,threePointersPercentage_ewm,pointsInThePaint_ewm,pointsFastBreak_ewm,benchPoints_ewm,efg_pct_ewm,ts_pct_ewm,tov_rate_ewm,pace_ewm,opp_score_ewm,opp_assists_ewm,opp_rebounds_ewm,opp_fg_pct_ewm,opp_win_pct_ewm
22200959,2023-03-04 20:00:00,2023,1610612759,1610612745,San Antonio,Spurs,Houston,Rockets,1,0,110,122,-12,24.0,42.0,9.0,3.0,15.0,0.442,0.405,0.0,0.0,0.0,1.0,1,3,late,2,0.33864883988043637,0.4,109.05727543344662,26.111715750988292,45.49014769741187,6.751226747398588,4.208758016777297,15.517864287116923,0.4483442701334172,0.3232555173276521,0.0,0.0,0.0,0.4992529228095682,0.5294783931081162,0.14469599337739436,107.35904859084843,107.05140569444076,23.273940287652795,45.28929636065937,0.43886928412884074,0.04638752031673525
22200967,2023-03-05 19:00:00,2023,1610612759,1610612745,San Antonio,Spurs,Houston,Rockets,0,0,110,142,-32,23.0,35.0,5.0,4.0,15.0,0.462,0.324,0.0,0.0,0.0,0.0,1,3,late,-1,0.27707632353853884,0.2,109.22867990009269,25.727767432626784,44.85557538879153,7.160094611507936,3.9889838319086977,15.423707144004755,0.4471907664727959,0.3381181505408063,0.0,0.0,0.0,0.5046741672881668,0.5386948264286965,0.14656193597895,105.43922157433053,109.76933193181516,23.769587508079557,45.23669702235767,0.46143850519632423,0.2197716075318744
22201002,2023-03-10 20:00:00,2023,1610612759,1610612743,San Antonio,Spurs,Denver,Nuggets,1,1,128,120,8,31.0,50.0,10.0,0.0,19.0,0.543,0.394,0.0,0.0,0.0,5.0,0,3,late,-2,0.2266988101678954,0.0,109.36891991825766,25.23180971760373,43.063652590829435,6.76735013668831,3.9909867715616616,15.346669481458436,0.449883354386833,0.33555121407884153,0.0,0.0,0.0,0.5077343871165158,0.538559389214886,0.14607771040432196,105.22118128808863,114.2858231736369,30.33344076523448,45.07632121989959,0.48884356794431916,0.6923159856300263
22201018,2023-03-12 19:00:00,2023,1610612759,1610612760,San Antonio,Spurs,Oklahoma City,Thunder,1,0,90,102,-12,24.0,50.0,3.0,7.0,19.0,0.375,0.278,0.0,0.0,0.0,1.0,1,3,late,1,0.3672990265010054,0.0,112.75638902402899,26.280571587130325,44.32480666522408,7.355104657290435,3.2653528130959044,16.01091139392054,0.46681365358922705,0.3461782660645067,0.0,0.0,0.0,0.5266376126697991,0.5553060713779157,0.15165941302255703,105.63187559934525,118.79000795443517,24.409567269240984,40.88637867435685,0.4670510397666545,0.5652762676461295
22201032,2023-03-14 20:00:00,2023,1610612759,1610612753,San Antonio,Spurs,Orlando,Magic,1,1,132,114,18,39.0,47.0,6.0,7.0,15.0,0.565,0.537,0.0,0.0,0.0,2.0,0,3,late,-1,0.30051738531900435,0.0,108.6188637469328,25.86592220765208,45.3566599988197,6.563267446873993,3.9443795743511947,16.554382049571352,0.45012026202754934,0.33378221768914185,0.0,0.0,0.0,0.5093977161513232,0.5392501956128378,0.15687299113386957,105.58244367219157,117.76549120799287,25.03815193177153,43.54262326206289,0.477702680215163,0.43171947009199035
22201040,2023-03-15 20:30:00,2023,1610612759,1610612742,San Antonio,Spurs,Dallas,Mavericks,1,0,128,137,-9,26.0,47.0,7.0,4.0,10.0,0.458,0.441,0.0,0.0,0.0,1.0,1,3,late,1,0.4276960425337309,0.0,112.86997942930867,28.25393635171534,45.655449089943396,6.460855183805994,4.4999469244691594,16.27176713146747,0.4710074871134495,0.3707309053820252,0.0,0.0,0.0,0.5429831581345052,0.5703480546189332,0.15537473461163753,104.73472664088402,111.77902884065136,23.63701814359308,38.6009887080295,0.4618859124151869,0.26620816196659086
22201052,2023-03-17 20:00:00,2023,1610612759,1610612763,San Antonio,Spurs,Memphis,Grizzlies,1,0,120,126,-6,31.0,54.0,11.0,4.0,20.0,0.398,0.385,0.0,0.0,0.0,1.0,1,3,late,-1,0.34993312570941615,0.0,115.62089226034347,27.84412974231255,45.89991289177187,6.558881514023087,4.409047483656585,15.13144583483702,0.4686424894564587,0.3835071044034752,0.0,0.0,0.0,0.5402657445059715,0.5648953150821269,0.14329502315383777,106.13568543345056,113.91932902369433,26.36720157877943,42.379838596115874,0.4736217960414671,0.5379154271589405
22201065,2023-03-19 16:00:00,2023,1610612759,1610612737,San Antonio,Spurs,Atlanta,Hawks,1,1,126,118,8,26.0,41.0,9.0,5.0,12.0,0.543,0.5,0.0,0.0,0.0,1.0,1,3,late,-2,0.2863089210349768,0.2,116.41709366755374,28.417924334619357,47.3726560023588,7.366357602382526,4.334675213900842,16.01663750123029,0.45579840046437525,0.3837785399664797,0.0,0.0,0.0,0.5329447000503403,0.5606801322158207,0.14892806466793135,107.70374262736865,121.32814471396043,24.32462793895487,44.40022081115402,0.48717332948819775,0.505938789413473
22201080,2023-03-21 20:00:00,2023,1610612759,1610612740,San Antonio,Spurs,New Orleans,Pelicans,0,0,84,119,-35,22.0,37.0,8.0,3.0,16.0,0.345,0.317,0.0,0.0,0.0,2.0,0,3,late,1,0.4160709353922538,0.0,118.15944027345306,27.97830172832493,46.2139912746572,7.66338349285843,4.455643356827961,15.286339773733872,0.47165323674357973,0.4049097145180289,0.0,0.0,0.0,0.548231350331323,0.5721047335274767,0.1430247124245243,106.85578942239253,111.30911577147214,25.934944000976007,40.08137833077293,0.4745203057359824,0.4221690613408593
22201089,2023-03-22 20:00:00,2023,1610612759,1610612749,San Antonio,Spurs,Milwaukee,Bucks,0,0,94,130,-36,26.0,46.0,7.0,6.0,19.0,0.387,0.231,0.0,0.0,0.0,1.0,1,3,late,-1,0.34042167441184396,0.4,111.94863295100703,26.891337777720395,44.53872013381043,7.724586494156898,4.190980928313786,15.416096178509532,0.4486253755174743,0.38892613006020543,0.0,0.0,0.0,0.5248329647956383,0.5481650077244333,0.14572080044319802,105.85655498195752,121.7955350669223,28.731690897045567,46.58927002998385,0.5042998237508302,0.7299866596547069
22201098,2023-03-24 19:00:00,2023,1610612759,1610612764,San Antonio,Spurs,Washington,Wizards,0,0,124,136,-12,35.0,41.0,4.0,4.0,5.0,0.505,0.342,0.0,0.0,0.0,1.0,1,3,late,-2,0.27852682451878136,0.2,108.68524514173302,26.729276363589413,44.80440738220853,7.59284349521928,4.519893486802189,16.067715055144163,0.43742076178702444,0.36021228823107715,0.0,0.0,0.0,0.5085876750087481,0.5324422040338684,0.14985151241935415,107.1189995306925,109.01597242044579,24.823179781163013,40.14611954169868,0.49048985780033816,0.18748468722064118
22201116,2023-03-26 18:00:00,2023,1610612759,1610612738,San Antonio,Spurs,Boston,Celtics,0,0,93,137,-44,22.0,38.0,7.0,0.0,10.0,0.371,0.222,0.0,0.0,0.0,1.0,1,3,late,-3,0.2278855836971847,0.4,111.46974602505428,28.233044297482248,44.11269694907971,6.9395992233612285,4.4253673982927,14.055403226936132,0.4497078960075655,0.356900963098154,0.0,0.0,0.0,0.5196275396786247,0.540399653925649,0.13155352805678008,106.1155450705666,119.78115571489089,27.68538930392006,45.225999455168754,0.47630899760116874,0.6903695567417877
22201143,2023-03-29 20:00:00,2023,1610612759,1610612762,San Antonio,Spurs,Utah,Jazz,1,0,117,128,-11,31.0,39.0,10.0,4.0,15.0,0.474,0.286,0.0,0.0,0.0,3.0,0,3,late,-4,0.18645184120678746,0.2,108.11161038413532,27.09976351612184,43.00129750379249,6.950581182750096,3.620755144057663,13.318057185675016,0.4353973694607354,0.332373515262126,0.0,0.0,0.0,0.5001263750135327,0.522726046865934,0.12388007484325933,107.17090051228176,114.42678494784461,27.136430274207196,48.50635649142866,0.46480304382282955,0.27371968913335915
22201158,2023-03-31 22:00:00,2023,1610612759,1610612744,San Antonio,Spurs,Golden State,Warriors,0,0,115,130,-15,27.0,46.0,8.0,4.0,15.0,0.462,0.395,0.0,0.0,0.0,2.0,0,3,late,-5,0.15255150644191698,0.0,109.72768122338343,27.808897422281504,42.27378886673931,7.505020967704624,3.689708754228997,13.62386497009774,0.4424160295587835,0.32394196703264855,0.0,0.0,0.0,0.5048880867335602,0.5297222041161522,0.126095836403622,107.72891860095781,117.01046079000885,29.110203760946586,43.59324701596208,0.486082681387062,0.6072355995603737
22201170,2023-04-02 18:00:00,2023,1610612759,1610612758,San Antonio,Spurs,Sacramento,Kings,0,1,142,134,8,31.0,52.0,8.0,3.0,18.0,0.531,0.382,0.0,0.0,0.0,1.0,1,4,late,-6,0.12481486890702297,0.0,110.68628463731372,27.661825163684867,42.951281800059434,7.595017155394692,3.7461253443691795,13.874071339170879,0.44597675145718657,0.3368616093903488,0.0,0.0,0.0,0.5119913516831027,0.5367965904793834,0.12987586913955146,106.70911521896548,123.92600699829856,28.75338504819194,44.390771165526004,0.5024874389113719,0.7124899033765162
22201188,2023-04-04 22:00:00,2023,1610612759,1610612756,San Antonio,Spurs,Phoenix,Suns,0,0,94,115,-21,25.0,38.0,7.0,5.0,12.0,0.389,0.325,0.0,0.0,0.0,2.0,0,4,nan,1,0.2839394381966553,0.0,116.3796874305294,28.268766043014892,44.59650329095772,7.668650399868384,3.6104661908475104,14.624240186594355,0.4614355239195163,0.34506858950119446,0.0,0.0,0.0,0.5274363378334848,0.5557473269423394,0.13478008862930888,108.17291245188086,116.0705527475217,28.75012500934826,44.33070574132447,0.4793581895015768,0.7419441127715772
22201199,2023-04-06 20:00:00,2023,1610612759,1610612757,San Antonio,Spurs,Portland,Trail Blazers,1,1,129,127,2,29.0,47.0,9.0,4.0,15.0,0.443,0.286,0.0,0.0,0.0,1.0,1,4,nan,-1,0.2323140857972634,0.0,112.31065335225132,27.67444494428491,43.39713905623813,7.547077599892314,3.863108701602509,14.147105607213565,0.44826542866142244,0.34141975504643185,0.0,0.0,0.0,0.5153772057021441,0.5435693981895497,0.13227762504706847,106.53420109699343,105.30842271672721,23.379796074069564,40.02150808153119,0.4375895416525195,0.22398089488928163
22201214,2023-04-08 16:00:00,2023,1610612759,1610612750,San Antonio,Spurs,Minnesota,Timberwolves,1,0,131,151,-20,34.0,45.0,5.0,4.0,13.0,0.526,0.448,0.0,0.0,0.0,1.0,1,4,nan,1,0.3718933429250338,0.2,115.34508001547836,27.915454954414926,44.052204682376654,7.8112453090028025,3.8879980285838713,14.302177314992916,0.44730807799570926,0.3313434359470806,0.0,0.0,0.0,0.5108660842537268,0.5438534795808653,0.1318767551823002,108.13161907935826,111.27121635026212,26.66475984065148,44.16936932183545,0.476559945548646,0.48698963413654733
