gameId,gameDate,season,teamId,opponentTeamId,teamCity,teamName,opponentTeamCity,opponentTeamName,home,win,teamScore,opponentScore,point_diff,assists,reboundsTotal,steals,blocks,turnovers,fieldGoalsPercentage,threePointersPercentage,pointsInThePaint,pointsFastBreak,benchPoints,days_rest,is_back_to_back,month,season_part,streak,win_pct_ewm,h2h_win_pct,teamScore_ewm,assists_ewm,reboundsTotal_ewm,steals_ewm,blocks_ewm,turnovers_ewm,fieldGoalsPercentage_ewm,threePointersPercentage_ewm,pointsInThePaint_ewm,pointsFastBreak_ewm,benchPoints_ewm,efg_pct_ewm,ts_pct_ewm,tov_rate_ewm,pace_ewm,opp_score_ewm,opp_assists_ewm,opp_rebounds_ewm,opp_fg_pct_ewm,opp_win_pct_ewm,top5_points_avg,top5_assists_avg,top5_rebounds_avg,top5_plusminus_avg,star_points_max
22200508,2022-12-27 19:30:00,2023,1610612754,1610612737,Indiana,Pacers,Atlanta,Hawks,1,1,129,114,15,28.0,49.0,3.0,2.0,13.0,0.511,0.371,0.0,0.0,0.0,0.0,1,12,mid,-1,0.4382814369564378,0.0,109.00168690558924,25.32126848613988,39.966915096088,7.793038427324118,5.080162209746877,14.860167057672818,0.4615825220198502,0.367683328996373,0.0,0.0,0.0,0.546669482774549,0.5740831606158494,0.1462922374388071,101.37419789123204,118.20788681008938,25.41103168149354,43.58094299454859,0.4823828132963018,0.5306328202246272,15.09897051839928,3.6785442831613446,4.255225617420997,0.6196760502361175,22.66579036001272
22200524,2022-12-29 19:00:00,2023,1610612754,1610612739,Indiana,Pacers,Cleveland,Cavaliers,1,1,135,126,9,28.0,32.0,6.0,8.0,9.0,0.565,0.613,0.0,0.0,0.0,1.0,1,12,mid,1,0.5404120847825401,0.0,112.63774383184575,25.80831057956899,41.60929416952655,6.921576895083367,4.520132717065626,14.52195486536867,0.4705675180162411,0.3682863600879415,0.0,0.0,0.0,0.5530062566574373,0.5825969024774826,0.1412047187410937,102.9207073655535,110.89548730853588,23.116714055283936,39.2691840887211,0.4948002464027561,0.5464178085494533,14.59931319396407,3.469029386622482,4.253483862841198,0.02978352120481329,23.693860240008483
22200538,2022-12-31 15:00:00,2023,1610612754,1610612746,Indiana,Pacers,Los Angeles,Clippers,1,1,131,130,1,28.0,36.0,10.0,4.0,12.0,0.523,0.368,0.0,0.0,0.0,1.0,1,12,mid,2,0.6239735239129874,0.2,116.70360858969198,26.2067995651019,39.862149775067174,6.754017459613665,5.152835859417331,13.517963071665276,0.4877370601951064,0.4127797491628612,0.0,0.0,0.0,0.5754543169443204,0.6068986232494421,0.132020085917331,102.25148784454376,116.12385194183987,24.522278547570934,45.030394001844456,0.4741283452614884,0.578431439480973,14.773559277224177,3.420575211140939,4.26516963340209,0.21306379584497925,23.664223633402212
22200553,2023-01-02 19:00:00,2023,1610612754,1610612761,Indiana,Pacers,Toronto,Raptors,1,1,122,114,8,24.0,50.0,4.0,2.0,13.0,0.484,0.37,0.0,0.0,0.0,2.0,0,1,mid,3,0.6923419741106261,0.2,119.30295248247526,26.532836007810644,39.15994072505496,7.344196103320272,4.9432293395232705,13.241969785907951,0.4941485037959961,0.4046379765877956,0.0,0.0,0.0,0.5803303915494853,0.6147460640112636,0.128843258882898,102.70758096371765,111.4630335556191,21.613957399523763,40.129795861097,0.4625547190149432,0.4204371123178096,15.115706112356602,3.400383580645291,4.323446538330542,0.9953758907528452,25.109482422268144
22200567,2023-01-04 19:00:00,2023,1610612754,1610612755,Indiana,Pacers,Philadelphia,76ers,0,0,126,129,-3,31.0,45.0,7.0,8.0,13.0,0.474,0.361,0.0,0.0,0.0,2.0,0,1,mid,4,0.7482797969996032,0.0,119.79332475838883,26.072320370026887,41.130860593226785,6.73616044817113,4.408096732337221,13.197975279379232,0.4923033212876332,0.3983401626627418,0.0,0.0,0.0,0.5725674855590608,0.6091681263953443,0.1284905851404606,102.65892987940532,116.24331858182168,26.143045259209128,40.29428526688068,0.4871800009903167,0.7253882127747958,15.542588600365926,3.46647348102974,4.8094727844048695,1.9871361282398095,25.472988281512094
22200580,2023-01-06 19:00:00,2023,1610612754,1610612757,Indiana,Pacers,Portland,Trail Blazers,1,1,108,99,9,22.0,41.0,11.0,6.0,14.0,0.452,0.28,0.0,0.0,0.0,2.0,0,1,mid,-1,0.6122289248178571,0.2,120.92181116595452,26.96826212093109,41.83434048536737,6.784131275776379,5.061170053730454,13.161979774037553,0.4889754446898817,0.391551042178607,0.0,0.0,0.0,0.5670288996679397,0.6060253308408357,0.1273349398219702,103.34639717405892,115.70924045281356,24.27944716769946,43.339024204001966,0.4888816699286079,0.4029722882611558,15.548392273093603,3.4843156608728734,4.832981860822467,1.951423891327596,23.915325521008064
22200598,2023-01-08 17:00:00,2023,1610612754,1610612766,Indiana,Pacers,Charlotte,Hornets,1,1,116,111,5,27.0,41.0,14.0,7.0,16.0,0.437,0.342,0.0,0.0,0.0,1.0,1,1,mid,1,0.6827327566691558,0.4,118.57239095396278,26.064941735307254,41.682642215300575,7.550652861998856,5.231866407597644,13.314347087848908,0.4822526365644486,0.3712690345097693,0.0,0.0,0.0,0.5537595759187904,0.5977718578217529,0.1281245786449542,103.88705223332092,117.32079947148942,26.94356932926738,46.63052150100537,0.4558513047870881,0.3503295014689047,15.872261473806748,3.6828771355604575,4.995321218492587,2.6076159048450784,23.14355034733871
22200622,2023-01-11 19:30:00,2023,1610612754,1610612752,Indiana,Pacers,New York,Knicks,0,0,113,119,-6,27.0,41.0,8.0,5.0,13.0,0.478,0.308,0.0,0.0,0.0,3.0,0,1,mid,2,0.7404177100020366,0.2,118.10468350778774,26.23495232888775,41.55852544888229,8.723261432544518,5.553345242579891,13.802647617330924,0.4740248844618216,0.3659473918716294,0.0,0.0,0.0,0.5460749717287491,0.5929617012810545,0.1313913894338589,104.91122455453532,111.7818892483304,20.543453018850713,47.30464234341325,0.447779079886709,0.5674441630208947,15.88188781393023,3.8641944116284557,5.204232847576115,3.0001188045305858,21.278679088286065
22200633,2023-01-13 19:00:00,2023,1610612754,1610612737,Indiana,Pacers,Atlanta,Hawks,1,0,111,113,-2,24.0,51.0,8.0,9.0,12.0,0.396,0.233,0.0,0.0,0.0,1.0,1,1,mid,-1,0.6057963081834844,0.2,117.17655923364453,26.374051905453616,41.45697536726733,8.591759353900061,5.4527370166562745,13.65671168690712,0.4747476327414904,0.3554115024404241,0.0,0.0,0.0,0.5457785122225118,0.5886644618337425,0.1301769918294051,104.78918372643795,115.79335853835462,24.20460895723473,43.22074901110927,0.4758505953441743,0.3549033219932356,15.532375002027289,3.915551391447233,5.241377631768043,3.268508434041845,19.461008840101268
22200643,2023-01-14 19:00:00,2023,1610612754,1610612763,Indiana,Pacers,Memphis,Grizzlies,1,0,112,130,-18,26.0,49.0,5.0,8.0,20.0,0.369,0.234,0.0,0.0,0.0,1.0,1,1,mid,-2,0.4956515248773963,0.0,116.05354846389096,25.94240610446205,43.19207075503691,8.48416674410005,6.09769392271877,13.355491380196735,0.4604298813339467,0.3331548656330742,0.0,0.0,0.0,0.5248538862378608,0.5703380502843778,0.1269451112345155,105.1475139579947,122.76873212650862,24.94485493405658,50.715021713237505,0.487083581959799,0.8878866521447855,15.802831848918846,3.873946692093746,5.217212392046659,3.4381840354226183,20.153939960046635
22200657,2023-01-16 14:30:00,2023,1610612754,1610612749,Indiana,Pacers,Milwaukee,Bucks,0,0,119,132,-13,29.0,37.0,6.0,5.0,16.0,0.512,0.475,0.0,0.0,0.0,1.0,1,1,mid,-3,0.4055330658087787,0.0,115.31653965227444,25.95287772183259,44.248057890484745,7.850681881536404,6.443567754951722,14.563583856524602,0.4438062665459564,0.3151267082452425,0.0,0.0,0.0,0.5062131973014095,0.5549320906482752,0.134339908003323,107.72432960199566,107.15042328738112,24.32559561830551,46.94115663389966,0.4295045487445286,0.4326424710080931,16.687269348526787,3.832812478706567,5.127967880174221,3.2799572702433095,20.435959973364426
22200674,2023-01-18 20:00:00,2023,1610612754,1610612760,Indiana,Pacers,Oklahoma City,Thunder,0,0,106,126,-20,23.0,48.0,9.0,10.0,24.0,0.415,0.364,0.0,0.0,0.0,2.0,0,1,mid,-4,0.3317997811162734,0.2,115.98625971549724,26.50689995422666,42.93022918312388,7.514194266711603,6.181100890415045,14.824750428065585,0.4562051271739643,0.3441945794733803,0.0,0.0,0.0,0.5278107977920623,0.573441327227176,0.1382681827487759,106.79263331072372,119.90926844339306,24.321568858360237,44.45560797371795,0.4791142014410284,0.7211864101070135,17.139269418079163,3.976742541676978,5.083663712508996,3.454083284562477,21.320087041257334
22200688,2023-01-20 21:00:00,2023,1610612754,1610612743,Indiana,Pacers,Denver,Nuggets,0,0,111,134,-23,23.0,39.0,7.0,2.0,21.0,0.44,0.25,0.0,0.0,0.0,2.0,0,1,mid,-5,0.2714725481860419,0.0,114.1705761308614,25.869281780730905,43.852005695283175,7.784340763673129,6.875446183066855,16.49297762296275,0.4487132858696072,0.3477955650236747,0.0,0.0,0.0,0.518885817149018,0.5613403583621945,0.1533241318356535,107.11397270877396,120.56343178653192,29.172644454451017,41.8427099133046,0.5198871138004773,0.9288838287791956,17.188422998698922,4.128774225669886,5.110856058578006,1.576509205979771,22.76673920104778
22200697,2023-01-21 21:00:00,2023,1610612754,1610612756,Indiana,Pacers,Phoenix,Suns,0,0,107,112,-5,22.0,48.0,10.0,4.0,15.0,0.375,0.351,0.0,0.0,0.0,1.0,1,1,mid,-6,0.2221139030613069,0.0,113.59410774343206,25.347594184234374,42.96982284159533,7.641733352096197,5.9890014225092445,17.312436236969525,0.4471290520751331,0.3300145532011884,0.0,0.0,0.0,0.5132875300483308,0.5599058093964606,0.1617139415212407,106.7805231253605,108.18630910428162,27.498901648078444,43.802810015677736,0.4478468000601709,0.3128983738277335,15.252353364684765,2.245400810156135,5.05937269871068,-2.341744244292726,21.336357547551458
22200713,2023-01-24 19:00:00,2023,1610612754,1610612741,Indiana,Pacers,Chicago,Bulls,1,1,116,110,6,24.0,45.0,9.0,10.0,8.0,0.424,0.27,0.0,0.0,0.0,2.0,0,1,mid,-7,0.1817295570501602,0.0,112.39517906280804,24.738940696191765,43.88440050675981,8.070509106260525,5.627364800234837,16.891993284793248,0.4340146789705634,0.3338300889827905,0.0,0.0,0.0,0.5004549488274223,0.5486415432325877,0.1567844211219601,107.62770073893132,116.9551745868514,24.67333675360284,43.3217427842288,0.4954455812723748,0.6592120211496972,14.513615226748522,2.3598180181784807,4.903927788887162,-5.134009986242128,20.331533867423396
22200720,2023-01-25 19:00:00,2023,1610612754,1610612753,Indiana,Pacers,Orlando,Magic,0,0,120,126,-6,25.0,32.0,14.0,5.0,17.0,0.482,0.429,0.0,0.0,0.0,1.0,1,1,mid,1,0.3305060012228584,0.4,113.0506010513884,24.604587842338717,44.087236778258024,8.239507450576793,6.422389382010322,15.275267233012656,0.4321938282486428,0.3222246182586468,0.0,0.0,0.0,0.4957808626310681,0.5436195320075337,0.1420888867633563,107.20811878639836,114.72389938216124,23.82886827133683,40.74020091442803,0.486318942360442,0.4981777044951707,13.928581619673121,2.355084085080947,4.817175373777387,-7.224520300529368,19.64083547087728
22200736,2023-01-27 19:00:00,2023,1610612754,1610612749,Indiana,Pacers,Milwaukee,Bucks,1,0,131,141,-10,22.0,38.0,10.0,4.0,13.0,0.551,0.394,0.0,0.0,0.0,2.0,0,1,mid,-1,0.2704140010005205,0.0,114.31412813295417,24.676480961913494,41.889557364029294,9.286869732290103,6.163773130735717,15.588855008828537,0.4412494958397986,0.3416383240298019,0.0,0.0,0.0,0.509382203115259,0.5563701542195251,0.1457592123953997,106.76300627978048,117.17063131987112,25.399296469226034,45.46271900252181,0.4784648968265685,0.670266594250001,15.064076726961918,3.8373237766970254,4.991219833807354,-6.547771571394746,19.360556980584853
22200753,2023-01-29 18:00:00,2023,1610612754,1610612763,Indiana,Pacers,Memphis,Grizzlies,0,0,100,112,-12,21.0,38.0,4.0,6.0,18.0,0.456,0.281,0.0,0.0,0.0,1.0,1,1,mid,-2,0.2212478190004258,0.0,117.34792301787158,24.18984805974741,41.182365116023966,9.416529780964632,5.770359834238314,15.118154098132438,0.4612041329598352,0.3511586287516561,0.0,0.0,0.0,0.5301482581157532,0.572751333515505,0.1408787994308501,107.2279142289113,114.55665045841305,25.505205080501455,45.75942101600483,0.4543583444079655,0.3441336633703577,15.17605115226508,3.8693269620634325,4.923035444767278,-6.378514382262479,18.754240496442893
22200778,2023-02-02 19:00:00,2023,1610612754,1610612747,Indiana,Pacers,Los Angeles,Lakers,1,0,111,112,-1,30.0,46.0,8.0,6.0,16.0,0.484,0.39,0.0,0.0,0.0,4.0,0,2,late,-3,0.1810209428185301,0.4,114.19375519644038,23.60987568524788,40.60375327674688,8.431706184425607,5.812112591649529,15.642126080290176,0.4602579269671379,0.3384025144331731,0.0,0.0,0.0,0.5269682526125437,0.5716395357956333,0.1496274213662589,105.04829346001831,118.4802618507656,25.755855794403107,46.20855379525601,0.467847177449036,0.5070562897177695,16.328084916475646,3.8960934657173816,5.08373192199735,-4.26978342651965,21.1186858802457
22200786,2023-02-03 19:00:00,2023,1610612754,1610612758,Indiana,Pacers,Sacramento,Kings,1,1,107,104,3,28.0,47.0,13.0,5.0,18.0,0.449,0.415,0.0,0.0,0.0,1.0,1,2,late,-4,0.1481080441242519,0.0,113.6130724334512,24.771716469748263,41.58488904461108,8.35321415089368,5.846273938622343,15.707194065691962,0.4645746675185674,0.3477838754453235,0.0,0.0,0.0,0.5347726563408592,0.57321437096636,0.1499602140530311,105.15587646728773,118.75823110626804,26.13135390995355,41.06917585310287,0.503134652286006,0.6571884694562465,17.8985683402165,4.811190583448145,5.532072677999472,-3.2436847458898157,21.646329110785395
